,channelId,channelTitle,pub_date,videoCategoryId,videoCategoryLabel,duration,durationSec,definition,caption,viewCount,likeCount,dislikeCount,commentCount
22,UC7wOvqC3gyy45Eevq-ZSokw,jayurbzz,04/14/41,29,Nonprofits & Activism,PT9M29S,569,hd,FALSE,923,16,1,11
23,UCewQJkBg5UT2Q2qXNmeUmHQ,MicroLife,02/26/44,10,Music,PT8M53S,533,hd,FALSE,90,6,0,1
24,UC6kFuQCLBFJnIzzhC5cysaA,The Natural Way of Healing,08/03/45,24,Entertainment,PT8M31S,511,hd,FALSE,2322,142,2,61
25,UCldfgbzNILYZA4dmDt4Cd6A,Secular Talk,01/09/47,25,News & Politics,PT8M24S,504,hd,FALSE,28167,868,26,338
26,UCJrVckuDr9mbysKNpgfhhFg,War on drugs,06/16/48,22,People & Blogs,PT8M24S,504,hd,FALSE,86,0,0,0
27,UCObG2rwB28k7hPipFqea_ng,Disaltar,11/22/49,22,People & Blogs,PT8M24S,504,sd,FALSE,247,3,0,3
28,UCeZ7WEtJh2aY75gd31A0_-Q,Psychoactive Society,04/30/51,22,People & Blogs,PT8M13S,493,hd,FALSE,447,14,1,4
29,UC-MsM6mCPLnUrjOAfsCMTxw,Young Morpheus,10/05/52,22,People & Blogs,PT8M11S,491,hd,FALSE,18908,200,7,80
30,UCBreA_KjlvTPX0P3u2Fxn3g,Edgar Frias,03/13/54,10,Music,PT8M2S,482,sd,FALSE,160,3,0,0
31,UCn8V3KNSgDr1Dai77_y8JrQ,PsychedSubstance,08/19/55,24,Entertainment,PT7M45S,465,hd,FALSE,148681,3698,49,1212
32,UC6kFuQCLBFJnIzzhC5cysaA,The Natural Way of Healing,01/24/57,24,Entertainment,PT7M38S,458,hd,FALSE,59255,870,35,523
33,UCXSF1F_RFRUVNXX4QmB6vmw,Your Mate Tom,07/02/58,27,Education,PT7M32S,452,hd,FALSE,5838,113,0,26
34,UCKa6yh0Vd3-NNs64Ea5dihg,CapsugelPTG,12/08/59,28,Science & Technology,PT7M26S,446,sd,FALSE,3299,1,1,0
35,UCXSF1F_RFRUVNXX4QmB6vmw,Your Mate Tom,05/15/61,27,Education,PT7M24S,444,hd,FALSE,35928,323,12,178
36,UC4-_7YBc0X-qU5nQn_sTDlg,Damienbove,10/21/62,28,Science & Technology,PT7M20S,440,sd,FALSE,181,0,0,0
37,UCKa6yh0Vd3-NNs64Ea5dihg,CapsugelPTG,03/28/64,28,Science & Technology,PT7M14S,434,sd,FALSE,3133,3,2,0
38,UC7wOvqC3gyy45Eevq-ZSokw,jayurbzz,09/03/65,19,Travel & Events,PT6M17S,377,hd,FALSE,843,8,0,12
39,UCvb-DqrtgHRX-hPypnjfkdw,The Point with Ana Kasparian,02/09/67,25,News & Politics,PT6M9S,369,hd,FALSE,27571,358,134,349
40,UC6kFuQCLBFJnIzzhC5cysaA,The Natural Way of Healing,07/17/68,22,People & Blogs,PT5M45S,345,hd,FALSE,1770,100,1,49
41,UCoM5UvXoqDHd2zCpqTrUm3w,Malan Darras,12/23/69,1,Film & Animation,PT5M35S,335,hd,FALSE,4040,24,21,28
42,UCISZQaV44OrgDBRbeDrCXYQ,WordsReality,05/31/71,22,People & Blogs,PT5M13S,313,hd,FALSE,132,2,0,2
43,UCuUJ0ByfT_9idrRzIFu9OyA,TheLipTV2,11/05/72,25,News & Politics,PT5M5S,305,hd,FALSE,1420,16,8,7
44,UCfvKwp-BExobsDcuDfCx1hA,ICRISAT Co,04/13/74,29,Nonprofits & Activism,PT4M58S,298,hd,FALSE,86,0,0,0
45,UCyPSHKvZDBwmGtQxaF9Hg7A,trippyshore,09/19/75,22,People & Blogs,PT4M56S,296,hd,FALSE,905,44,1,14
46,UCWhd7Voh_8ZjyM2NryqpMbg,TheOriginsOfReligion,02/24/77,27,Education,PT4M55S,295,hd,FALSE,611,7,0,3
47,UCm6dPJ_2VwvfB1c873IUMHg,Luna Sky Diamond,,22,People & Blogs,PT4M43S,283,hd,FALSE,130,2,1,1
48,UCo0r68iGvJJYBqogfAW7wjQ,MAC Valves,01/08/80,28,Science & Technology,PT4M40S,280,sd,FALSE,1577,5,0,2
49,UCOp0ZmhL17fYU6FzNLc3RwQ,"Intek Systems, Inc.",06/15/81,28,Science & Technology,PT4M40S,280,hd,FALSE,368,1,0,0
50,UCnY0P7Z7FBMMIoHC2zUJVIQ,Nutristore,11/21/82,17,Sports,PT4M34S,274,hd,FALSE,1805,8,1,0
51,UCfvKwp-BExobsDcuDfCx1hA,ICRISAT Co,04/28/84,28,Science & Technology,PT4M33S,273,sd,FALSE,2493,5,0,3
52,UCxw4-gbOtqRLdh9C3Ne-XAw,"E-PAK Machinery, Inc.",10/04/85,28,Science & Technology,PT4M17S,257,hd,FALSE,11,,,0
53,UCafWkijltITY62ecvVF7ykw,SHAPE (PTY) LTD CLINIC,03/12/87,22,People & Blogs,PT3M51S,231,hd,FALSE,109,0,1,0
54,UCzYRSPPmlDnbojgdo4O13KQ,ESTEVECompany,08/17/88,28,Science & Technology,PT3M50S,230,sd,FALSE,1717,,,
55,UCF4LEacx9sDvAbEJnlaJfKQ,CBS SF Bay Area,01/23/90,25,News & Politics,PT3M49S,229,hd,TRUE,200,5,0,0
56,UCI-jLIlZKXHCZApl3VvWfgQ,The Awakened Brave!,07/01/91,22,People & Blogs,PT3M45S,225,hd,FALSE,370,28,1,41
57,UCKl0MRTvyN2DLAj3AyGFKrw,Ron Elimeleh,12/06/92,22,People & Blogs,PT3M45S,225,hd,FALSE,90,1,0,0
58,UCsGuxu7vhRULX4uM5wwlWXw,Improve Humanity | Behind the Eyelids,05/14/94,22,People & Blogs,PT3M44S,224,hd,FALSE,256,6,1,1
59,UCpy50X_0LZU3Ju2GTRZ6l7w,Vanrooy Machinery,10/20/95,22,People & Blogs,PT3M40S,220,sd,FALSE,494,0,0,0
